lambda,hbo,hbr
809,922.7,801.4
810,929.1,798.7
811,935.4,796.1
812,941.6,794.1
813,947.8,792.2
814,953.9,790.4
815,960.3,788.8
816,966.6,787.4
817,972.8,786.1
818,978.9,784.9
819,984.8,784.2
820,991.1,783.4
821,997.3,782.7
822,1003.2,782.2
823,1009.1,781.7
824,1015.3,781.2
825,1021.1,780.9
826,1027.3,780.8
827,1033.3,780.6
828,1039.3,780.5
829,1044.9,780.4
830,1050.7,780.4
831,1056.4,780.4
832,1062.1,780.4
833,1068.0,780.4
834,1073.9,780.5
835,1079.7,780.5
836,1085.1,780.6
837,1090.7,780.7
838,1096.2,780.9
839,1101.8,781.2
840,1107.2,781.5
841,1112.8,781.7
842,1118.2,782.0
843,1123.3,782.3
844,1128.6,782.7
845,1133.9,783.3
846,1139.1,783.9
847,1144.2,784.5
848,1149.4,785.0
849,1154.7,785.6
850,1159.6,786.1
851,1164.5,787.1
852,1169.4,788.0
853,1174.2,789.0
854,1179.0,790.1
855,1184.2,791.2
856,1188.5,792.3
857,1193.4,793.5
858,1198.0,794.9
859,1202.6,796.3
860,1207.1,797.7
861,1211.4,799.3
862,1215.6,800.9
863,1220.0,802.5
864,1224.5,804.4
865,1228.6,806.3
866,1232.5,808.2
867,1236.7,810.2
868,1240.7,812.2
869,1244.9,814.3
870,1249.0,816.6
871,1252.9,818.9
872,1256.5,821.3
873,1260.1,823.7
874,1264.1,826.1
875,1267.8,828.5
876,1271.0,831.0
877,1274.6,833.6
878,1278.1,836.1
879,1281.4,838.7
880,1284.6,841.2
881,1287.8,843.8
882,1290.7,846.3
883,1293.8,848.9
884,1297.1,851.6
885,1300.0,854.2
886,1302.7,856.8
887,1305.8,859.4
888,1308.4,862.0
889,1310.8,864.5
890,1313.7,867.0
891,1316.5,869.4
892,1318.9,871.8
893,1321.0,874.2
894,1323.5,876.5
895,1326.2,878.7
896,1328.3,880.7
897,1330.4,882.7
898,1332.3,884.6
899,1334.1,886.3
900,1336.5,888.0
901,1338.5,889.7
902,1340.3,891.0
903,1342.0,892.3
904,1343.5,893.6
905,1345.2,894.4
906,1346.7,895.2
907,1347.8,895.9
908,1349.6,896.2
909,1350.7,896.5
910,1351.4,896.8
911,1352.8,896.4
912,1354.2,895.7
913,1355.3,895.1
914,1356.2,894.2
915,1357.0,893.1
916,1357.8,892.0
917,1358.2,890.4
918,1358.7,888.5
919,1358.5,886.6
920,1359.0,884.4
921,1359.8,881.7
922,1360.2,879.0
923,1360.2,876.0
924,1360.2,872.6
925,1360.2,869.1
926,1360.4,865.5
927,1360.3,861.3
928,1359.9,857.1
929,1360.0,852.8
930,1359.5,848.0
931,1359.3,843.2
932,1359.0,838.2
933,1358.4,832.4
934,1357.7,826.5
935,1356.9,820.7
936,1355.7,814.3
937,1354.9,808.0
938,1354.5,801.6
939,1353.3,794.5
940,1352.0,787.4
941,1351.1,780.2
942,1350.2,772.7
943,1348.7,765.1
944,1346.8,757.5
945,1345.3,749.3
946,1344.5,741.0
947,1342.8,732.7
948,1341.0,724.1
949,1339.4,715.4
950,1337.4,706.8
951,1335.4,698.2
952,1333.2,689.6
953,1331.3,681.0
954,1329.3,671.5
955,1326.3,661.6
956,1324.0,651.7
957,1321.7,642.0
958,1319.9,632.4
959,1317.2,622.9
960,1314.4,613.3
961,1312.3,603.7
962,1309.9,594.1
963,1307.0,584.3
964,1304.2,574.5
965,1301.8,564.7
966,1299.5,555.0
967,1296.6,545.3
968,1292.8,535.7
969,1290.0,526.1
970,1286.8,516.6
971,1283.8,507.1
972,1280.7,497.6
973,1277.3,488.0
974,1273.5,478.5
975,1269.2,469.1
976,1265.6,459.7
977,1262.4,450.4
978,1259.0,441.3
979,1254.9,432.3
980,1251.3,423.3
981,1247.0,414.6
982,1243.0,406.1
983,1239.3,397.5
984,1235.1,389.2
985,1230.5,381.0
986,1226.0,372.9
987,1221.9,364.8
988,1217.3,356.7
989,1213.3,348.7
990,1208.7,340.9
991,1204.3,333.4
992,1199.2,325.9
993,1193.9,318.7
994,1189.3,311.7
995,1184.8,304.7
996,1178.9,297.8
997,1173.3,290.9
998,1169.4,284.1
999,1163.7,277.6
